"condition","alpha","choice","mean","lower","upper"
"area",0.32,"IE",0.247526200041732,0.161570114255447,0.348932933602581
"area",0.33,"Nash",0.601617121623931,0.459585381692622,0.731632888064364
"area",0.33,"IE",0.245508239283566,0.16039494355513,0.345819610361973
"area",0.34,"Nash",0.602678390697689,0.460403166769301,0.731421589820957
"area",0.34,"IE",0.24349415995393,0.158729037288139,0.343434455629601
"area",0.35,"Nash",0.603737258527844,0.461663497675561,0.732533510283418
"area",0.35,"IE",0.241496038456138,0.157037281539286,0.341378746526774
"area",0.36,"Nash",0.60478577003654,0.462735086643661,0.733263372699716
"area",0.36,"IE",0.239525559820231,0.155008926626754,0.339384713019197
"area",0.37,"Nash",0.605816365620067,0.463871654196391,0.734274602363097
"area",0.37,"IE",0.237593992116429,0.15337076975117,0.33760244972052
"area",0.38,"Nash",0.606821872101087,0.465816481775005,0.734670506446875
"area",0.38,"IE",0.235712190783427,0.152121895078429,0.335507286520969
"area",0.39,"Nash",0.607795466082131,0.466919488188055,0.735473562420567
"area",0.39,"IE",0.233890633659046,0.150367497768127,0.334001681413649
"area",0.4,"Nash",0.60873060938938,0.467891423646083,0.737131418373557
"area",0.4,"IE",0.232139487250626,0.148937032044318,0.331886042634439
"area",0.41,"Nash",0.60962094956807,0.468454575172533,0.738064598999192
"area",0.41,"IE",0.23046857764255,0.147717293439113,0.32976457988058
"area",0.42,"Nash",0.61046020472335,0.469196294308026,0.738722620846721
"area",0.42,"IE",0.228887105299867,0.146545648775107,0.327720064364986
"area",0.43,"Nash",0.611242177917014,0.470121320324056,0.739617145042154
"area",0.43,"IE",0.227404021331107,0.145630054385255,0.326299874666821
"area",0.44,"Nash",0.611960800791739,0.470771369890109,0.740443829719125
"area",0.44,"IE",0.226028111379102,0.145075262332372,0.324296538062575
"area",0.45,"Nash",0.612610151799717,0.471552752062104,0.740930218381367
"area",0.45,"IE",0.224767975359196,0.143972911869897,0.322730248883229
"area",0.46,"Nash",0.61318445163995,0.472270627073211,0.741646809247964
"area",0.46,"IE",0.22363203345575,0.142981984517725,0.321346121676119
"area",0.47,"Nash",0.613678035701639,0.472913962996242,0.742383904619541
"area",0.47,"IE",0.222628558637821,0.142283197989273,0.320318004182331
"area",0.48,"Nash",0.614085303424386,0.473710968432003,0.742457418425601
"area",0.48,"IE",0.22176573579072,0.141656290665747,0.318863581850311
"area",0.49,"Nash",0.614400644574633,0.474209574211553,0.74322071126979
"area",0.49,"IE",0.221051747430517,0.140905874848815,0.318214938485965
"area",0.5,"Nash",0.614618342489566,0.474604873464334,0.743614570788833
"area",0.5,"IE",0.220494885889302,0.140646942363643,0.317778005868137
"area",0.51,"Nash",0.614734962413709,0.475031358685967,0.743541909222958
"area",0.51,"IE",0.220100134283267,0.140562373919235,0.317388461615904
"area",0.52,"Nash",0.614756757961989,0.475313418799745,0.74293032866714
"area",0.52,"IE",0.219858624161713,0.140503621814029,0.317397761919375
"area",0.53,"Nash",0.614692171394006,0.475249228972458,0.742625408541774
"area",0.53,"IE",0.219758271643442,0.140710999364865,0.316492874959853
"area",0.54,"Nash",0.614549450993552,0.474235665876247,0.742515155538404
"area",0.54,"IE",0.219787191872053,0.140751996420223,0.316021197858635
"area",0.55,"Nash",0.614336761130435,0.473547140442638,0.742164724583098
"area",0.55,"IE",0.21993357460788,0.141214631874883,0.315547583355053
"area",0.56,"Nash",0.614062266806648,0.472668254430042,0.742266452421859
"area",0.56,"IE",0.220185588698353,0.141428202182143,0.315269633847332
"area",0.57,"Nash",0.613734192707326,0.472222755211026,0.742100327000731
"area",0.57,"IE",0.220531315510733,0.14213605658396,0.315871439833969
"area",0.58,"Nash",0.613360856822666,0.471570025389597,0.741592486977728
"area",0.58,"IE",0.220958711331491,0.142698131558504,0.315816101690129
"area",0.59,"Nash",0.61295067875943,0.471926672735451,0.740848771114624
"area",0.59,"IE",0.221455598647128,0.143349478166514,0.316926789795895
"area",0.6,"Nash",0.612512162909536,0.471951300071969,0.740587413945023
"area",0.6,"IE",0.222009686134522,0.14403402773192,0.31792618631132
"area",0.61,"Nash",0.612053527945561,0.47127840353034,0.739975617036706
"area",0.61,"IE",0.222608975937904,0.144815759643941,0.318761814357938
"area",0.62,"Nash",0.611581687426052,0.470838603171455,0.73926664586485
"area",0.62,"IE",0.223242881520047,0.145325155948898,0.318849953240169
"area",0.63,"Nash",0.611103291111358,0.470505984871286,0.739032423162402
"area",0.63,"IE",0.223901095638202,0.145781250823822,0.319766711588639
"area",0.64,"Nash",0.610625130848068,0.469437551567654,0.738443422783581
"area",0.64,"IE",0.224573148229328,0.146420282237614,0.32060738006899
"area",0.65,"Nash",0.610154192496342,0.468616515095501,0.737700769308911
"area",0.65,"IE",0.225248350614382,0.146826918784368,0.321270012786047
"area",0.66,"Nash",0.609697681234057,0.468866669952864,0.737409231196133
"area",0.66,"IE",0.225915769265797,0.147276289153011,0.322316238967358
"area",0.67,"Nash",0.609263020441778,0.468206428183753,0.736560853398496
"area",0.67,"IE",0.226564228905436,0.147799593349971,0.32248501304573
"area",0.68,"Nash",0.608857824421394,0.467803942548554,0.735769000095936
"area",0.68,"IE",0.227182344637063,0.14822991288929,0.323558692218706
"area",0.69,"Nash",0.60848984519623,0.468033545170024,0.734974171892806
"area",0.69,"IE",0.227758582817212,0.148755132744393,0.324613536337118
"area",0.7,"Nash",0.60816689355723,0.467991578981941,0.734899300582314
"area",0.7,"IE",0.228281350461422,0.149245381709597,0.325281308491236
"area",0.71,"Nash",0.607894882861585,0.467997123720814,0.734557078682624
"area",0.71,"IE",0.228741686122192,0.149704580350443,0.325332784791537
