"condition","choice","mean","lower","upper"
"area","Decoy",0.370168640884451,0.260999814090873,0.496335042114564
"area","Nash/IE",0.629831359115549,0.503664957885436,0.739000185909127
"none","Decoy",0.365110809787497,0.252579307931801,0.480051502719395
"none","Nash/IE",0.634889190212503,0.519948497280605,0.747420692068199
